date      , admin1       , admin2     , market                         , latitude    , longitude  , category             , commodity                  , unit  , priceflag, pricetype, currency, price   , usdprice
2006-04-15, Eastern      , Kitui      , Kitui                          , -1.366667   , 38.016667  , pulses and nuts      , Beans (dry)                , KG    , actual   , Retail   , KES     ,    53   ,   0.7411
2006-04-15, Eastern      , Marsabit   , Marsabit                       , 2.333333    , 37.983333  , cereals and tubers   , Maize (white)              , KG    , actual   , Retail   , KES     ,    24   ,   0.3356
2006-04-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Maize                      , KG    , actual   , Wholesale, KES     ,    17.02,   0.238
2006-04-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Maize (white)              , 90 KG , actual   , Wholesale, KES     ,  1540   ,  21.5339
2006-04-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Potatoes (Irish)           , 50 KG , actual   , Wholesale, KES     ,  1388.88,  19.4208
2006-04-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , milk and dairy       , "Milk (cow, pasteurized)"  , 500 ML, actual   , Retail   , KES     ,    25   ,   0.3496
2006-04-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , pulses and nuts      , Beans (dry)                , 90 KG , actual   , Wholesale, KES     ,  4310   ,  60.2671
2006-04-15, North Eastern, Mandera    , Mandera                        , 3.936804    , 41.858383  , cereals and tubers   , Maize (white)              , KG    , actual   , Retail   , KES     ,    28   ,   0.3915
2006-04-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , cereals and tubers   , Maize (white)              , 90 KG , actual   , Wholesale, KES     ,  1520   ,  21.2543
2006-04-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , cereals and tubers   , Sorghum                    , 90 KG , actual   , Wholesale, KES     ,  1600   ,  22.3729
2006-04-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , pulses and nuts      , Beans                      , KG    , actual   , Wholesale, KES     ,    50.15,   0.7013
2006-04-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , cereals and tubers   , Maize                      , KG    , actual   , Wholesale, KES     ,    14.19,   0.1984
2006-04-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , cereals and tubers   , Maize (white)              , 90 KG , actual   , Wholesale, KES     ,  1277   ,  17.8564
2006-04-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , cereals and tubers   , Potatoes (Irish)           , 50 KG , actual   , Wholesale, KES     ,   796.1 ,  11.132
2006-04-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , cereals and tubers   , Sorghum                    , 90 KG , actual   , Wholesale, KES     ,  1035   ,  14.4725
2006-04-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , pulses and nuts      , Beans (dry)                , 90 KG , actual   , Wholesale, KES     ,  3060   ,  42.7882
2006-05-15, Coast        , Mombasa    , Mombasa                        , -4.05       , 39.666667  , pulses and nuts      , Beans (dry)                , 90 KG , actual   , Wholesale, KES     ,  3978.95,  55.4944
2006-05-15, Eastern      , Kitui      , Kitui                          , -1.366667   , 38.016667  , pulses and nuts      , Beans (dry)                , KG    , actual   , Retail   , KES     ,    51   ,   0.7113
2006-05-15, Eastern      , Marsabit   , Marsabit                       , 2.333333    , 37.983333  , cereals and tubers   , Maize (white)              , KG    , actual   , Retail   , KES     ,    22   ,   0.3068
2006-05-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Bread                      , 400 G , actual   , Retail   , KES     ,    26   ,   0.3626
2006-05-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Maize (white)              , 90 KG , actual   , Wholesale, KES     ,  1624.76,  22.6606
2006-05-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Potatoes (Irish)           , 50 KG , actual   , Wholesale, KES     ,  1624.99,  22.6638
2006-05-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , milk and dairy       , "Milk (cow, pasteurized)"  , 500 ML, actual   , Retail   , KES     ,    25   ,   0.3487
2006-05-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , oil and fats         , Oil (vegetable)            , L     , actual   , Retail   , KES     ,   120   ,   1.6736
2006-05-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , pulses and nuts      , Beans                      , KG    , actual   , Wholesale, KES     ,    49.72,   0.6934
2006-05-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , pulses and nuts      , Beans (dry)                , 90 KG , actual   , Wholesale, KES     ,  4505   ,  62.8312
2006-05-15, North Eastern, Mandera    , Mandera                        , 3.936804    , 41.858383  , cereals and tubers   , Maize (white)              , KG    , actual   , Retail   , KES     ,    25   ,   0.3487
2006-05-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , cereals and tubers   , Maize (white)              , 90 KG , actual   , Wholesale, KES     ,  1720   ,  23.9888
2006-05-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , cereals and tubers   , Potatoes (Irish)           , 50 KG , actual   , Wholesale, KES     ,  1111.1 ,  15.4966
2006-05-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , cereals and tubers   , Sorghum                    , 90 KG , actual   , Wholesale, KES     ,  1400   ,  19.5258
2006-05-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , pulses and nuts      , Beans                      , KG    , actual   , Wholesale, KES     ,    48.09,   0.6707
2006-05-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , pulses and nuts      , Beans (dry)                , 90 KG , actual   , Wholesale, KES     ,  4543   ,  63.3612
2006-05-15, Rift Valley  , Turkana    , Lodwar (Turkana)               , 3.116667    , 35.6       , cereals and tubers   , Maize (white)              , KG    , actual   , Retail   , KES     ,    26   ,   0.3626
2006-05-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , cereals and tubers   , Maize                      , KG    , actual   , Wholesale, KES     ,    15.58,   0.2173
2006-05-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , cereals and tubers   , Maize (white)              , 90 KG , actual   , Wholesale, KES     ,  1445.26,  20.1571
2006-05-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , pulses and nuts      , Beans                      , KG    , actual   , Wholesale, KES     ,    53.6 ,   0.7475
2006-05-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , pulses and nuts      , Beans (dry)                , 90 KG , actual   , Wholesale, KES     ,  3311   ,  46.1785
2006-06-15, Coast        , Mombasa    , Mombasa                        , -4.05       , 39.666667  , cereals and tubers   , Maize                      , KG    , actual   , Wholesale, KES     ,    20.1 ,   0.2733
2006-06-15, Coast        , Mombasa    , Mombasa                        , -4.05       , 39.666667  , cereals and tubers   , Maize (white)              , 90 KG , actual   , Wholesale, KES     ,  1814.75,  24.6737
2006-06-15, Coast        , Mombasa    , Mombasa                        , -4.05       , 39.666667  , pulses and nuts      , Beans                      , KG    , actual   , Wholesale, KES     ,    28.23,   0.3838
2006-06-15, Eastern      , Kitui      , Kitui                          , -1.366667   , 38.016667  , cereals and tubers   , Maize (white)              , KG    , actual   , Retail   , KES     ,    22   ,   0.2991
2006-06-15, Eastern      , Marsabit   , Marsabit                       , 2.333333    , 37.983333  , cereals and tubers   , Maize (white)              , KG    , actual   , Retail   , KES     ,    20   ,   0.2719
2006-06-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Bread                      , 400 G , actual   , Retail   , KES     ,    26   ,   0.3535
2006-06-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Maize                      , KG    , actual   , Wholesale, KES     ,    16.96,   0.2306
2006-06-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , milk and dairy       , "Milk (cow, pasteurized)"  , 500 ML, actual   , Retail   , KES     ,    22   ,   0.2991
2006-06-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , oil and fats         , Oil (vegetable)            , L     , actual   , Retail   , KES     ,   120   ,   1.6315
2006-06-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , pulses and nuts      , Beans                      , KG    , actual   , Wholesale, KES     ,    33.07,   0.4496
2006-06-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , pulses and nuts      , Beans (dry)                , 90 KG , actual   , Wholesale, KES     ,  3017   ,  41.0197
2006-06-15, North Eastern, Mandera    , Mandera                        , 3.936804    , 41.858383  , cereals and tubers   , Maize (white)              , KG    , actual   , Retail   , KES     ,    22   ,   0.2991
2006-06-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , cereals and tubers   , Maize                      , KG    , actual   , Wholesale, KES     ,    19.3 ,   0.2624
2006-06-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , cereals and tubers   , Maize (white)              , 90 KG , actual   , Wholesale, KES     ,  1714   ,  23.3039
2006-06-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , cereals and tubers   , Sorghum                    , 90 KG , actual   , Wholesale, KES     ,  1220   ,  16.5874
2006-06-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , pulses and nuts      , Beans                      , KG    , actual   , Wholesale, KES     ,    38.51,   0.5236
2006-06-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , pulses and nuts      , Beans (dry)                , 90 KG , actual   , Wholesale, KES     ,  3340   ,  45.4113
2006-06-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , cereals and tubers   , Maize                      , KG    , actual   , Wholesale, KES     ,    17.03,   0.2316
2006-06-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , cereals and tubers   , Maize (white)              , 90 KG , actual   , Wholesale, KES     ,  1549   ,  21.0605
2006-06-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , cereals and tubers   , Sorghum                    , 90 KG , actual   , Wholesale, KES     ,  1322.22,  17.9772
2006-06-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , pulses and nuts      , Beans                      , KG    , actual   , Wholesale, KES     ,    46.06,   0.6262
2006-06-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , pulses and nuts      , Beans (dry)                , 90 KG , actual   , Wholesale, KES     ,  2978   ,  40.4895
2006-07-15, Coast        , Mombasa    , Mombasa                        , -4.05       , 39.666667  , cereals and tubers   , Maize                      , KG    , actual   , Wholesale, KES     ,    19.92,   0.2701
2006-07-15, Coast        , Mombasa    , Mombasa                        , -4.05       , 39.666667  , cereals and tubers   , Maize (white)              , 90 KG , actual   , Wholesale, KES     ,  1695   ,  22.9822
2006-07-15, Coast        , Mombasa    , Mombasa                        , -4.05       , 39.666667  , pulses and nuts      , Beans                      , KG    , actual   , Wholesale, KES     ,    30.15,   0.4088
2006-07-15, Eastern      , Kitui      , Kitui                          , -1.366667   , 38.016667  , pulses and nuts      , Beans (dry)                , KG    , actual   , Retail   , KES     ,    51   ,   0.6915
2006-07-15, Eastern      , Marsabit   , Marsabit                       , 2.333333    , 37.983333  , cereals and tubers   , Maize (white)              , KG    , actual   , Retail   , KES     ,    21   ,   0.2847
2006-07-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Bread                      , 400 G , actual   , Retail   , KES     ,    26   ,   0.3525
2006-07-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Maize (white)              , 90 KG , actual   , Wholesale, KES     ,  1690.67,  22.9235
2006-07-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Sorghum                    , 90 KG , actual   , Wholesale, KES     ,  1680   ,  22.7789
2006-07-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , milk and dairy       , "Milk (cow, pasteurized)"  , 500 ML, actual   , Retail   , KES     ,    22   ,   0.2983
